label,pattern,attr,replace,category,notes
plant_sex,pistillate,lower,,,
plant_sex,staminate,lower,,,
prep,to,lower,,,
shape,3-angular,lower,polygonal,,
shape,3-angulate,lower,polygonal,,
shape,4-angular,lower,polygonal,,
shape,4-angulate,lower,polygonal,,
shape,5-angular,lower,polygonal,,
shape,5-angulate,lower,polygonal,,
shape,6-angular,lower,polygonal,,
shape,6-angulate,lower,polygonal,,
shape,7-angular,lower,polygonal,,
shape,7-angulate,lower,polygonal,,
shape,8-angular,lower,polygonal,,
shape,8-angulate,lower,polygonal,,
shape,9-angular,lower,polygonal,,
shape,9-angulate,lower,polygonal,,
shape,acicular,lower,polygonal,,
shape,actinomorphic,lower,radially symmetric,,
shape,acuminate,lower,,,
shape,acute,lower,,,
shape,angular,lower,,,
shape,angular-orbiculate,lower,polygonal,,
shape,angulate,lower,,,
shape,apiculate,lower,,,
shape,aristate,lower,,,
shape,attenuate,lower,,,
shape,auriculate,lower,,,
shape,bilabiate,lower,,,
shape,bilateral,lower,bilaterally symmetric,,
shape,bowl-shaped,lower,saucerlike,,
shape,bowlshaped,lower,saucerlike,,
shape,calceolate,lower,,,
shape,campanulate,lower,,,
shape,caudate,lower,,,
shape,circular,lower,orbicular,,
shape,convex,lower,,,
shape,cordate,lower,,,
shape,coronate,lower,,,
shape,crateriform,lower,saucerlike,,
shape,cruciform,lower,,,
shape,cuneate,lower,,,
shape,cup-shaped,lower,,,
shape,cupshaped,lower,cup-shaped,,
shape,cupulate,lower,cup-shaped,,
shape,cyanthiform,lower,,,
shape,cylindric,lower,,,
shape,cylindrical,lower,,,
shape,cymbiform,lower,saucerlike,,
shape,deltate,lower,deltoid,,
shape,deltoid,lower,,,
shape,dentate,lower,,,
shape,digitate,lower,,,
shape,elliptic,lower,,,
shape,elongate-ovate,lower,,,
shape,emarginate,lower,,,
shape,ensate,lower,,,
shape,ensiform,lower,linear,,
shape,falcate,lower,,,
shape,fenestrate,lower,,,
shape,filiform,lower,,,
shape,flabellate,lower,,,
shape,flabelliorm,lower,flabellate,,
shape,funnelform,lower,,,
shape,galeate,lower,,,
shape,globose,lower,spheric,,
shape,hastate,lower,,,
shape,hemispheric,lower,,,
shape,incised,lower,,,
shape,infundibular,lower,,,
shape,irregular,lower,bilaterally symmetric,,
shape,keeled,lower,,,
shape,labiate,lower,,,
shape,laciniate,lower,,,
shape,lanceolate,lower,,,
shape,ligulate,lower,,,
shape,liguliform,lower,,,
shape,linear,lower,,,
shape,lorate,lower,,,
shape,lyrate,lower,,,
shape,monosymmetric,lower,,,
shape,monosymmetrical,lower,,,
shape,mucronate,lower,,,
shape,multifid,lower,,,
shape,navicular,lower,cymbiform,,
shape,obconic,lower,,,
shape,obcordate,lower,,,
shape,oblanceolate,lower,,,
shape,oblique,lower,,,
shape,oblong,lower,,,
shape,oblong-terete,lower,oblong,,
shape,obovate,lower,,,
shape,obtriangular,lower,,,
shape,obtuse,lower,,,
shape,octagonal,lower,polygonal,,
shape,octagonate,lower,polygonal,,
shape,orbic-ular,lower,orbicular,,
shape,orbic-ulate,lower,orbicular,,
shape,orbicular,lower,,,
shape,orbicular-ovate,lower,orbicular,,
shape,orbiculate,lower,orbicular,,
shape,ovate,lower,,,
shape,ovoid,lower,,,
shape,palmate,lower,,,
shape,palmatifid,lower,,,
shape,palmatiite,lower,,,
shape,palmatisect,lower,,,
shape,pandurate,lower,,,
shape,papilionaceous,lower,,,
shape,peltate,lower,,,
shape,pen-tagonal,lower,polygonal,,
shape,pent-agonal,lower,polygonal,,
shape,pentagonal,lower,polygonal,,
shape,pentangular,lower,polygonal,,
shape,pentangulate,lower,polygonal,,
shape,perfoliate,lower,,,
shape,perforate,lower,,,
shape,petiolate,lower,,,
shape,pinnate,lower,,,
shape,pinnatifid,lower,,,
shape,pinnatiite,lower,,,
shape,pinnatisect,lower,,,
shape,plicate,lower,,,
shape,polygonal,lower,,,
shape,polygonal-angulate,lower,polygonal,,
shape,quadagulate,lower,polygonal,,
shape,quadanguar,lower,polygonal,,
shape,rectangular,lower,rhomboid,,
shape,regular,lower,radially symmetric,,
shape,reniform,lower,,,
shape,reniform-angulate,lower,reniform-polygonal,,
shape,retuse,lower,,,
shape,rhombic,lower,rhomboic,,
shape,rhomboic,lower,,,
shape,rhomboid,lower,,,
shape,rhomboidal,lower,,,
shape,rosette,lower,,,
shape,rosettes,lower,,,
shape,rotate,lower,,,
shape,rotund,lower,orbicular,,
shape,round,lower,orbicular,,
shape,rounded,lower,orbicular,,
shape,roundish,lower,orbicular,,
shape,saccate,lower,,,
shape,sagittate,lower,,,
shape,salverform,lower,,,
shape,saucer-like,lower,saucerlike,,
shape,saucer-shaped,lower,saucerlike,,
shape,saucerlike,lower,,,
shape,saucershaped,lower,saucerlike,,
shape,semiterete,lower,,,
shape,septagonal,lower,polygonal,,
shape,septagonate,lower,polygonal,,
shape,sextagonal,lower,polygonal,,
shape,sextagonate,lower,polygonal,,
shape,sinuate,lower,,,
shape,spatulate,lower,,,
shape,spear-shaped,lower,spearshaped,,
shape,spearshaped,lower,,,
shape,spheric,lower,,,
shape,stellate,lower,,,
shape,subcylindric,lower,cylindrical,,
shape,subcylindrical,lower,cylindrical,,
shape,subobtuse,lower,,,
shape,suborbicular,lower,orbicular,,
shape,suborbiculate,lower,orbicular,,
shape,subpeltate,lower,,,
shape,subreniform,lower,reniform,,
shape,subterete,lower,,,
shape,subulate,lower,,,
shape,symmetric,lower,,,
shape,terete,lower,,,
shape,triangular,lower,,,
shape,triangulate,lower,,,
shape,trullate,lower,,,
shape,truncate,lower,,,
shape,tubular,lower,,,
shape,turbinate,lower,,,
shape,undulate,lower,,,
shape,unifoliate,lower,,,
shape,urceolate,lower,,,
shape,zygomorphic,lower,bilaterally symmetric,,
shape,zygomorphous,lower,bilaterally symmetric,,
shape_leader,bilaterally,lower,,,
shape_leader,broadly,lower,,,
shape_leader,deeply,lower,,,
shape_leader,depressed,lower,,,
shape_leader,elongate,lower,,,
shape_leader,irregularly,lower,,,bilaterally symmetric
shape_leader,long,lower,,,
shape_leader,mostly,lower,,,
shape_leader,narrowly,lower,,,
shape_leader,nearly,lower,,,
shape_leader,palmately,lower,,,palmate
shape_leader,partly,lower,,,
shape_leader,pedately,lower,,,pedate
shape_leader,pinnately,lower,,,
shape_leader,radially,lower,,,
shape_leader,semi,lower,,,
shape_leader,shallowly,lower,,,
shape_leader,sometimes,lower,,,
shape_leader,sub,lower,,,
close,^[)\]]$,regex,,,
cross,^[x×]$,regex,,,
dash,^[\–\-]+$,regex,,,
float,^\d+(\.\d*)?$,regex,,,Floats and ints may conflict
int,^\d+$,regex,,,Floats and ints may conflict
open,^[(\[]$,regex,,,
