label,pattern,attr,replace,category,hyphenate,notes
margin_leader,thickened,lower,,,,
margin_shape,ciliate,lower,,,,
margin_shape,corrugated,lower,,,,
margin_shape,crenate,lower,,,,
margin_shape,crenulate,lower,,,,
margin_shape,dentate,lower,,,,
margin_shape,denticulate,lower,,,,
margin_shape,doubly serrate,lower,,,,
margin_shape,entire,lower,,,,
margin_shape,lobate,lower,,,,
margin_shape,lobulate,lower,,,,
margin_shape,not bordered,lower,,,,
margin_shape,pungent,lower,,,,
margin_shape,scalloped,lower,,,,
margin_shape,serrate,lower,,,,
margin_shape,serrulate,lower,,,,
margin_shape,sinuate,lower,,,,
margin_shape,spiny,lower,,,,
margin_shape,toothed,lower,,,,
margin_shape,undulate,lower,,,,
mass_units,g,lower,g,,,
mass_units,gm,lower,g,,,
mass_units,gms,lower,g,,,
mass_units,grams,lower,g,,,
mass_units,kg,lower,kg,,,
mass_units,kilograms,lower,kg,,,
mass_units,ounce,lower,oz,,,
mass_units,ounces,lower,oz,,,
mass_units,oz,lower,oz,,,
mass_units,ozs,lower,oz,,,
mass_units,pound,lower,lbs,,,
mass_units,pounds,lower,lbs,,,
part,2 n,lower,2n,,,
part,2n,lower,2n,,,
part,achene,lower,fruit,,,
part,achenes,lower,fruit,,,
part,androecia,lower,stamen,,,
part,androecium,lower,stamen,,,
part,anther,lower,anther,,,
part,anthers,lower,anther,,,
part,bark,lower,bark,,,
part,blade,lower,leaf,,,
part,blades,lower,leaf,,,
part,bract,lower,bract,,,
part,bracteole,lower,bract,,,
part,bracteoles,lower,bract,,,
part,bracts,lower,bract,,,
part,branch,lower,branch,,,
part,branches,lower,branch,,,
part,branchlet,lower,branch,,,
part,branchlets,lower,branch,,,
part,calyces,lower,calyx,,,
part,calyx,lower,calyx,,,
part,capsule,lower,capsule,,,
part,capsules,lower,capsule,,,
part,carpel,lower,carpel,,,
part,carpels,lower,carpel,,,
part,caudex,lower,caudex,,,
part,caudices,lower,caudex,,,
part,corolla,lower,corolla,,,
part,corollas,lower,corolla,,,
part,cotyledon,lower,cotyledon,,,
part,cotyledons,lower,cotyledon,,,
part,cyme,lower,inflorescence,,,
part,cymes,lower,inflorescence,,,
part,drupe,lower,fruit,,,
part,drupes,lower,fruit,,,
part,filament,lower,filament,,,
part,filaments,lower,filament,,,
part,flower,lower,flower,,,
part,flowering stem,lower,flower,,,
part,flowering stems,lower,flower,,,
part,flowers,lower,flower,,,
part,fruit,lower,fruit,,,
part,fruiting perianth,lower,perianth,,,
part,fruits,lower,fruit,,,
part,glomerule,lower,inflorescence,,,
part,glomerules,lower,inflorescence,,,
part,gynoecia,lower,flower,,,
part,gynoecium,lower,flower,,,
part,hypanthia,lower,hypanthium,,,
part,hypanthium,lower,hypanthium,,,
part,inflorescence,lower,inflorescence,,,
part,inflorescences,lower,inflorescence,,,
part,inflorescenses,lower,inflorescence,,,
part,leaf,lower,leaf,,,
part,leaf blade,lower,leaf,,,
part,leaf blades,lower,leaf,,,
part,leaflet,lower,leaflet,,leaf-let,
part,leaflets,lower,leaflet,,leaf-lets,
part,leaves,lower,leaf,,,
part,legume,lower,legume,,,
part,legumes,lower,legume,,,
part,ovaries,lower,ovary,,,
part,ovary,lower,ovary,,,
part,ovule,lower,ovary,,,
part,ovules,lower,ovary,,,
part,pedicel,lower,pedicel,,,
part,pedicels,lower,pedicel,,,
part,peduncle,lower,peduncle,,,
part,peduncles,lower,peduncle,,,
part,pepo,lower,pepo,,,
part,pepos,lower,pepo,,,
part,perianth,lower,perianth,,,
part,perigonium,lower,perianth,,,
part,petal,lower,petal,,,
part,petals,lower,petal,,,
part,petiole,lower,petiole,,,
part,petioles,lower,petiole,,,
part,petiolule,lower,petiole,,,
part,petiolules,lower,petiole,,,
part,pistil,lower,carpel,,,
part,pistillode,lower,pistol,,,
part,pistillodes,lower,pistol,,,
part,pistils,lower,carple,,,
part,pistol,lower,pistol,,,
part,pistols,lower,pistol,,,
part,plant,lower,plant,,,
part,plants,lower,plant,,,
part,raceme,lower,inflorescence,,ra-ceme,
part,racemes,lower,inflorescence,,ra-cemes,
part,root,lower,root,,,
part,roots,lower,root,,,
part,rootstock,lower,rootstock,,,
part,rosette,lower,rosette,,,
part,rosettes,lower,rosette,,,
part,seed,lower,seed,,,
part,seeds,lower,seed,,,
part,sepal,lower,sepal,,,
part,sepals,lower,sepal,,,
part,spike,lower,inflorescence,,,
part,spikes,lower,inflorescence,,,
part,stamen,lower,stamen,,,
part,stamens,lower,stamen,,,
part,staminode,lower,stamen,,,
part,staminodes,lower,stamen,,,
part,stem,lower,stem,,,
part,stems,lower,stem,,,
part,stigma,lower,stigma,,,
part,stigmas,lower,stigma,,,
part,stipule,lower,stipule,,,
part,stipules,lower,stipule,,,
part,stock,lower,rootstock,,,
part,style,lower,style,,,
part,styles,lower,style,,,
part,trunk,lower,trunk,,,
part,trunks,lower,trunk,,,
part,x =,lower,x,,,
part,x=,lower,x,,,
plant_duration,annual,lower,,descriptor,,
plant_duration,biennial,lower,,descriptor,,
plant_duration,monocarpic,lower,,descriptor,,
plant_duration,perennial,lower,,descriptor,,
sex,androdioecious,lower,,descriptor,,
sex,andromonoecious,lower,,descriptor,,
sex,bisexual,lower,bisexual,descriptor,,
sex,dioecious,lower,,descriptor,,
sex,female,lower,female,literal,,
sex,gynodioecious,lower,,descriptor,,
sex,hermaphroditic,lower,,descriptor,,
sex,male,lower,male,literal,,
sex,monoecious,lower,,descriptor,,
sex,perfect,lower,,descriptor,,
sex,pistillate,lower,female,literal,,
sex,polygamous,lower,,descriptor,,
sex,protandrous,lower,,descriptor,,
sex,protogynous,lower,,descriptor,,
sex,staminate,lower,male,literal,,
sex,unisexual,lower,,descriptor,,
shape,3-angular,lower,polygonal,,,
shape,3-angulate,lower,polygonal,,,
shape,4-angular,lower,polygonal,,,
shape,4-angulate,lower,polygonal,,,
shape,5-angular,lower,polygonal,,,
shape,5-angulate,lower,polygonal,,,
shape,6-angular,lower,polygonal,,,
shape,6-angulate,lower,polygonal,,,
shape,7-angular,lower,polygonal,,,
shape,7-angulate,lower,polygonal,,,
shape,8-angular,lower,polygonal,,,
shape,8-angulate,lower,polygonal,,,
shape,9-angular,lower,polygonal,,,
shape,9-angulate,lower,polygonal,,,
shape,acicular,lower,polygonal,,,
shape,actinomorphic,lower,radially symmetric,,,
shape,acuminate,lower,,,,
shape,acute,lower,,,,
shape,angular,lower,,,,
shape,angular-orbiculate,lower,polygonal,,,
shape,angulate,lower,,,,
shape,apiculate,lower,,,,
shape,aristate,lower,,,,
shape,attenuate,lower,,,,
shape,auriculate,lower,,,,
shape,bilabiate,lower,,,,
shape,bilateral,lower,bilaterally symmetric,,,
shape,bowl-shaped,lower,saucerlike,,,
shape,bowlshaped,lower,saucerlike,,,
shape,calceolate,lower,,,,
shape,campanulate,lower,,,,
shape,caudate,lower,,,,
shape,circular,lower,orbicular,,,
shape,connate,lower,,,,
shape,convex,lower,,,,
shape,cordate,lower,,,,
shape,coronate,lower,,,,
shape,crateriform,lower,saucerlike,,,
shape,cruciform,lower,,,,
shape,cuirved,lower,,,,
shape,cuneate,lower,,,,
shape,cup-shaped,lower,,,,
shape,cupshaped,lower,cup-shaped,,,
shape,cupulate,lower,cup-shaped,,,
shape,curved,lower,,,,
shape,cyanthiform,lower,,,,
shape,cylindric,lower,,,,
shape,cylindrical,lower,,,,
shape,cymbiform,lower,saucerlike,,,
shape,deltate,lower,deltoid,,,
shape,deltoid,lower,,,,
shape,digitate,lower,,,,
shape,ellipsoid,lower,,,,
shape,elliptic,lower,,,,
shape,elongate-ovate,lower,,,,
shape,emarginate,lower,,,,
shape,ensate,lower,,,,
shape,ensiform,lower,linear,,,
shape,falcate,lower,,,,
shape,fenestrate,lower,,,,
shape,filiform,lower,,,,
shape,flabellate,lower,,,,
shape,flabelliorm,lower,flabellate,,,
shape,funnelform,lower,,,,
shape,fusiform,lower,,,,
shape,galeate,lower,,,,
shape,globose,lower,spheric,,,
shape,hastate,lower,,,,
shape,hemispheric,lower,,,,
shape,incised,lower,,,,
shape,infundibular,lower,,,,
shape,irregular,lower,bilaterally symmetric,,,
shape,keeled,lower,,,,
shape,labiate,lower,,,,
shape,laciniate,lower,,,,
shape,lanceolate,lower,,,,
shape,ligulate,lower,,,,
shape,liguliform,lower,,,,
shape,linear,lower,,,,
shape,lorate,lower,,,,
shape,lyrate,lower,,,,
shape,monosymmetric,lower,,,,
shape,monosymmetrical,lower,,,,
shape,mucronate,lower,,,,
shape,multifid,lower,,,,
shape,navicular,lower,cymbiform,,,
shape,obconic,lower,,,,
shape,obcordate,lower,,,,
shape,oblanceolate,lower,,,,
shape,oblique,lower,,,,
shape,oblong,lower,,,,
shape,oblong-terete,lower,oblong,,,
shape,obovate,lower,,,,
shape,obovoid,lower,,,,
shape,obtriangular,lower,,,,
shape,obtuse,lower,,,,
shape,octagonal,lower,polygonal,,,
shape,octagonate,lower,polygonal,,,
shape,orbicular,lower,,,,
shape,orbicular-ovate,lower,orbicular,,,
shape,orbiculate,lower,orbicular,,,
shape,ovate,lower,,,,
shape,ovoid,lower,,,,
shape,palmate,lower,,,,
shape,palmatifid,lower,,,,
shape,palmatiite,lower,,,,
shape,palmatisect,lower,,,,
shape,pandurate,lower,,,,
shape,papilionaceous,lower,,,,
shape,peltate,lower,,,,
shape,pentagonal,lower,polygonal,,,
shape,pentangular,lower,polygonal,,,
shape,pentangulate,lower,polygonal,,,
shape,perfoliate,lower,,,,
shape,perforate,lower,,,,
shape,petiolate,lower,,,,
shape,pinnate,lower,,,,
shape,pinnatifid,lower,,,,
shape,pinnatiite,lower,,,,
shape,pinnatisect,lower,,,,
shape,plicate,lower,,,,
shape,polygonal,lower,,,,
shape,polygonal-angulate,lower,polygonal,,,
shape,quadagulate,lower,polygonal,,,
shape,quadanguar,lower,polygonal,,,
shape,rectangular,lower,rhomboid,,,
shape,regular,lower,radially symmetric,,,
shape,reniform,lower,,,,
shape,reniform-angulate,lower,reniform-polygonal,,,
shape,retuse,lower,,,,
shape,rhombic,lower,rhomboic,,,
shape,rhomboic,lower,,,,
shape,rhomboid,lower,,,,
shape,rhomboidal,lower,,,,
shape,rotate,lower,,,,
shape,rotund,lower,orbicular,,,
shape,round,lower,orbicular,,,
shape,rounded,lower,orbicular,,,
shape,roundish,lower,orbicular,,,
shape,saccate,lower,,,,
shape,sagittate,lower,,,,
shape,salverform,lower,,,,
shape,saucer-like,lower,saucerlike,,,
shape,saucer-shaped,lower,saucerlike,,,
shape,saucerlike,lower,,,,
shape,saucershaped,lower,saucerlike,,,
shape,semi­circular,lower,,,,
shape,semiterete,lower,,,,
shape,septagonal,lower,polygonal,,,
shape,septagonate,lower,polygonal,,,
shape,sextagonal,lower,polygonal,,,
shape,sextagonate,lower,polygonal,,,
shape,sinuate,lower,,,,
shape,spatulate,lower,,,,
shape,spear-shaped,lower,spearshaped,,,
shape,spearshaped,lower,,,,
shape,spheric,lower,,,,
shape,stellate,lower,,,,
shape,subcordate,lower,,,,
shape,subcylindric,lower,cylindrical,,,
shape,subcylindrical,lower,cylindrical,,,
shape,subobtuse,lower,,,,
shape,suborbicular,lower,orbicular,,,
shape,suborbiculate,lower,orbicular,,,
shape,subpeltate,lower,,,,
shape,subreniform,lower,reniform,,,
shape,subrhombic,lower,,,,
shape,subterete,lower,,,,
shape,subulate,lower,,,,
shape,symmetric,lower,,,,
shape,terete,lower,,,,
shape,triangular,lower,,,,
shape,triangulate,lower,,,,
shape,trullate,lower,,,,
shape,truncate,lower,,,,
shape,tubular,lower,,,,
shape,turbinate,lower,,,,
shape,twisted,lower,,,,
shape,unifoliate,lower,,,,
shape,urceolate,lower,,,,
shape,urn-shaped,lower,,,,
shape,vaginate,lower,,,,
shape,zygomorphic,lower,bilaterally symmetric,,,
shape,zygomorphous,lower,bilaterally symmetric,,,
shape_leader,bilaterally,lower,,,,
shape_leader,broadly,lower,,,,
shape_leader,deeply,lower,,,,
shape_leader,depressed,lower,,,,
shape_leader,elongate,lower,,,,
shape_leader,inflated,lower,,,,
shape_leader,irregularly,lower,,,,
shape_leader,long-,lower,,,,
shape_leader,mostly,lower,,,,
shape_leader,narrowly,lower,,,,
shape_leader,nearly,lower,,,,
shape_leader,palmately,lower,palmate,,,
shape_leader,partly,lower,,,,
shape_leader,pedately,lower,pedate,,,
shape_leader,pinnately,lower,pinnate,,,
shape_leader,radially,lower,,,,
shape_leader,semi,lower,,,,
shape_leader,shallowly,lower,,,,
shape_leader,sometimes,lower,,,,
shape_leader,sub,lower,,,,
subpart,aculei,lower,aculeus,,,
subpart,aculeus,lower,aculeus,,,
subpart,apex,lower,apex,,,
subpart,appendix,lower,appendix,,,
subpart,article,lower,article,,,
subpart,articles,lower,article,,,
subpart,base,lower,base,,,
subpart,bases,lower,base,,,
subpart,beak,lower,beak,,,
subpart,beaks,lower,beak,,,
subpart,gland,lower,gland,,,
subpart,glands,lower,gland,,,
subpart,hair,lower,hair,,,
subpart,hairs,lower,hair,,,
subpart,keel,lower,keel,,,
subpart,keels,lower,keel,,,
subpart,lobe,lower,lobe,,,
subpart,lobes,lower,lobe,,,
subpart,margin,lower,margin,,,
subpart,margins,lower,margin,,,
subpart,rachis,lower,rachis,,,
subpart,sinus,lower,sinus,,,
subpart,sinuses,lower,sinus,,,
subpart,stipe,lower,stipe,,,
subpart,stipes,lower,stipe,,,
subpart,surface,lower,surface,,,
subpart,surfaces,lower,surface,,,
subpart,teeth,lower,tooth,,,
subpart,tube,lower,tube,,,
subpart,tubes,lower,tube,,,
subpart,vein,lower,vein,,,
subpart,veins,lower,vein,,,
subpart,wing,lower,wing,,,
subpart,wings,lower,wing,,,
woodiness,herb,lower,herbaceous,literal,,
woodiness,herbaceous,lower,herbaceous,literal,,
woodiness,herbs,lower,herbaceous,literal,,
woodiness,woody,lower,woody,literal,,
